safe_address,token,first_signup_of_avatar,most_recent_signup_of_avatar,avatar_hash
0x547f6cf99a784e7a6f31ed1a1639e877f09aa0c8,0x726f73e8f3d0d666431722b6f25c937bb17a538e,12581416,12581416,005b2956dddf5ee6ffcc578614a4d1baca66a1972ba702b4ffeb681e49316b50
0x2ef987969e8a277041c3457f97c9f981ab00795a,0x7c2e67760d48db8e0dcc65689f087e8867743088,12656208,12656208,0062808f10056ba60175a6f575272bae1b11fd8b4592c9439c001d9f721b0f73
0x42cedde51198d1773590311e2a340dc06b24cb37,0x6293268785399bed001cb68a8ee04d50da9c854d,12542272,12542272,00e8e1e92ffb48ba1e30fe87529f1faddf1d4aa26daf59f57d310d62223ba74d
0xd2440c2f1418412758942bf6e209f48f36c7590b,0xbfbd133c6fda0b8d3d79a8e6bfb7729fdbacea05,12574105,12574105,011a4910b2af9b76b1247971a3b895a283ce474826ece6e8eb41547065e2efa2
0x92faee87f4a17eda9717c58505c8c5c9258c3fc3,0x204a03d98628579a0f9464ea86650b2f142eefb8,14101844,14101844,017c012f176ce12ca24f526672674b39899ba957b359b0b2a64db7aa1f7b687c
0xba8e801507a6b71bc178c401b85bb02314b9e830,0x2c31fd2ef1d2cef040d5a2b923cb024f46890792,13782016,13782016,01999f34cd680d8f0336c6ced0fe096974587a19f5abdd5f4ea1c25cfafb36ac
0xde88440b9236f776cdddd7e0c3da9c186e14bbea,0x26b82fb946e0971031f9e7849228d9c6acdd2687,13666164,13666164,01a07f399262377712585a29c82ed5778f26e6df790f5dd25632d3fbda911349
0xb57cc1453e2b58621b2ebe0a6af88960516bce89,0xbfc5ef1897775a8adcb906ced6f20ebb7074c498,12604593,12604593,01b0b60bd7481edf8f80f62e5b5fd276bc6a3ae74869e0237947c8412c230693
0xa0804387bd8da13106ad16725dfe57ced598f7a6,0xd899f89a3ad0b639158fbdbf37f447fc7f0499c3,14042629,14042629,01ef9bf61c728d70e59a449e9dd0b8a7075a5ea0f850ff5cd9d9baa193bb3939
0x23b42548f0ebc1f1f13932faac9228fa222feac7,0xee910f04d744d3ae658aff6f44eefd2bad40eb05,12872607,12872607,021156c74a07a1da17ed7cd0368876e5a5c1a0c36a3d93a93425bd095a19f1a8
