safe_address,token,first_signup_of_avatar,most_recent_signup_of_avatar,avatar_hash
0x547f6cf99a784e7a6f31ed1a1639e877f09aa0c8,0x726f73e8f3d0d666431722b6f25c937bb17a538e,12581416,12581416,005b2956dddf5ee6ffcc578614a4d1baca66a1972ba702b4ffeb681e49316b50
0x77866e6aac71ba5b6c21818a3dfe25fa16fb01f5,0x063bc0af06063d6dc63071262ac5b937dca4b63a,12581416,12583858,005b2956dddf5ee6ffcc578614a4d1baca66a1972ba702b4ffeb681e49316b50
0x58452b76b16631644d527eb820134f0722cb4c1a,0x4841bceb6f788a5c143daed61df966c25ef75858,12656208,12710730,0062808f10056ba60175a6f575272bae1b11fd8b4592c9439c001d9f721b0f73
0x2ef987969e8a277041c3457f97c9f981ab00795a,0x7c2e67760d48db8e0dcc65689f087e8867743088,12656208,12656208,0062808f10056ba60175a6f575272bae1b11fd8b4592c9439c001d9f721b0f73
0x92211b92b9da8340715caecb6dd4a1277353d819,0x515f5cdea2504d79c907e7724c8b9866287f2679,12542272,12554154,00e8e1e92ffb48ba1e30fe87529f1faddf1d4aa26daf59f57d310d62223ba74d
0x42cedde51198d1773590311e2a340dc06b24cb37,0x6293268785399bed001cb68a8ee04d50da9c854d,12542272,12542272,00e8e1e92ffb48ba1e30fe87529f1faddf1d4aa26daf59f57d310d62223ba74d
0x141843a8a8f6a4b18a7f2815c23a453080be3363,0x4c20d325e100969e201e94bb150d0a44ec7a81ca,12574105,12580162,011a4910b2af9b76b1247971a3b895a283ce474826ece6e8eb41547065e2efa2
0xd2440c2f1418412758942bf6e209f48f36c7590b,0xbfbd133c6fda0b8d3d79a8e6bfb7729fdbacea05,12574105,12574105,011a4910b2af9b76b1247971a3b895a283ce474826ece6e8eb41547065e2efa2
0x92faee87f4a17eda9717c58505c8c5c9258c3fc3,0x204a03d98628579a0f9464ea86650b2f142eefb8,14101844,14101844,017c012f176ce12ca24f526672674b39899ba957b359b0b2a64db7aa1f7b687c
0x02788d65ad7dfa43d6c3ffa7ac4473a5567dcc34,0x126f8e3b3f95935d1f1c4036ccf6d2f68a4961e6,14101844,14101850,017c012f176ce12ca24f526672674b39899ba957b359b0b2a64db7aa1f7b687c
